,Name,Status,PopulationCensus2002-12-08,PopulationCensus2013-11-19,Unnamed: 4
0,Almadies,Arrondissement,130134,211315,→
1,Mermoz / Sacré-Coeur,Commune,23602,29798,→
2,Ngor,Commune,10309,17383,→
3,Ouakam,Commune,43188,74692,→
4,Yoff,Commune,53035,89442,→
5,Dakar-Plateau,Arrondissement,235551,189486,→
6,Colobane / Fass / Gueule Tapée,Commune,54548,52270,→
7,Dakar-Plateau (Plateau),Commune,32795,34713,→
8,Fann / Point E / Amitié,Commune,17759,18841,→
9,Gorée (Ile de Gorée),Commune,979,1680,→
10,Médina,Commune,129470,81982,→
11,Grand Dakar,Arrondissement,269519,306728,→
12,Biscuiterie,Commune,50597,68547,→
13,Dieuppeul-Derklé,Commune,35452,36917,→
14,Grand Dakar,Commune,64290,47012,→
15,Hann / Bel-Air,Commune,35768,67962,→
16,HLM,Commune,41523,39126,→
17,Sicap-Liberté,Commune,41889,47164,→
18,Guédiawaye,Arrondissement,258370,329658,→
19,Golf Sud,Commune,71889,92345,→
20,Médina Gounass,Commune,34195,33761,→
21,Ndiarème Limamoulaye,Commune,30655,35171,→
22,Sam Notaire,Commune,58864,78660,→
23,Wakhinane Nimzatt,Commune,62767,89721,→
24,Niayes,Arrondissement,256058,499119,→
25,Keur Massar,Commune,57253,201654,→
26,Malika,Commune,14167,32131,→
27,Yeumbeul Nord,Commune,104199,168378,→
28,Yeumbeul Sud,Commune,80439,96956,→
29,Parcelles Assainies,Arrondissement,320693,438527,→
30,Cambérène,Commune,36892,52420,→
31,Grand Yoff,Commune,128740,185503,→
32,Parcelles Assainies,Commune,127947,159498,→
33,Patte d'Oie,Commune,27114,41106,→
34,Pikine Dagoudane,Arrondissement,291772,328670,→
35,Daliford,Commune,19963,30418,→
36,Djidah Thiaroye Kaw,Commune,90586,96951,→
37,Guinaw Rail Nord,Commune,30142,30057,→
38,Guinaw Rail Sud,Commune,38422,39859,→
39,Pikine Est,Commune,31290,32451,→
40,Pikine Ouest (Pikine Nord),Commune,44266,52154,→
41,Pikine Sud (Pikine Ouest),Commune,37103,46780,→
42,Thiaroye,Arrondissement,220996,343000,→
43,Diacksao (Tivaouane Diacksao),Commune,30728,40561,→
44,Diamaguène / Sicap Mbao,Commune,105782,128512,→
45,Mbao,Commune,26011,96320,→
46,Thiaroye-Gare,Commune,21873,24834,→
47,Thiaroye-sur-Mer,Commune,36602,52773,→
48,"Dakar (incl. Pikine, Guédiawaye)",City,1983093,2646503,
