,Unnamed: 0,Name,PopulationProjection (P)2014-07-01,Area
0,,Afgooye,...,0
1,,Baardheere [Bardera],...,0
2,,Badhan (Baran),...,0
3,,Barbara [Berbera],374000,0
4,,Baydhabo [Baidoa],...,0
5,,Beletweeyne [Beledweyne],...,0
6,,Boorama [Borama],...,0
7,,Boosaaso (Bender Qasim) [Bosaso],...,0
8,,Burco [Burao],...,0
9,,Buuloburte [Buloburde],...,0
10,,Buurhakaba [Burhakaba],...,0
11,,Ceerigaabo [Erigabo],...,0
12,,Gaalkacyo [Galkacyo],...,0
13,,Garoowe [Garowe],...,0
14,,Hargeysa [Hargeisa],741000,0
15,,Jamaame [Jamame],...,0
16,,Jilib,...,0
17,,Jowhar,...,0
18,,Kismaayo [Kismayo],358000,0
19,,Laascaanood [Las Anod],...,0
20,,Marka [Merca],499000,0
21,,Muqdisho [Mogadishu],1650227,0
22,,Qardho [Gardo],...,0
23,,Qoryooley [Qoryoley],...,0
