,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Name,Abbr.,Status,Area A (hect),Population Census (C) 1985-08-05,Population Census (C) 1991-08-09,Population Census (C) 1997-08-05,Population Census (C) 2002-08-01,Population Census (C) 2007-07-31,Population Census (C) 2012-08-21,Population Census (C) 2017-09-05,,
1,,Mayotte,MYT,,"37,424","67,167","94,414","131,320","160,265","186,452","212,645","256,518",,
2,,Acoua,ACO,Com,"1,262","2,708","3,604","4,446","4,605","4,622","4,714","5,192",1262,
3,,Bandraboua,BDB,Com,"3,237","3,533","5,166","6,406","7,501","9,013","10,132","13,989",3237,
4,,Bandrélé,BDL,Com,"3,646","2,974","3,778","4,958","5,537","6,838","7,885","10,282",3646,
5,,Bouéni,BOU,Com,"1,406","3,004","3,959","4,673","5,151","5,296","6,402","6,189",1406,
6,,Chiconi,CCN,Com,829,"4,025","4,861","6,042","6,167","6,412","7,048","8,295",829,
7,,Chirongui,CRG,Com,"2,931","3,387","4,121","5,144","5,696","6,605","8,047","8,920",2931,
8,,Dembéni,DEM,Com,"3,880","2,382","3,675","5,554","7,825","10,141","10,923","15,848",3880,
9,,Kani-Kéli,KAN,Com,"2,051","2,792","3,410","4,155","4,336","4,527","4,920","5,507",2051,
10,,Koungou,KOU,Com,"2,841","3,479","6,046","10,165","15,383","19,831","26,488","32,156",2841,
11,,Mamoudzou,MAM,Com,"4,194","12,026","20,307","32,733","45,485","53,022","57,281","71,437",4194,
12,,Mtsamboro,MTB,Com,"2,184","3,918","5,049","6,335","7,068","6,917","7,805","7,705",2184,
13,,M'Tsangamouji,MTM,Com,"1,371","3,249","4,116","5,098","5,382","5,028","6,314","6,432",1371,
14,,Ouangani,OUA,Com,"1,905","2,575","3,191","4,838","5,569","6,577","9,834","10,203",1905,
15,,Sada,SAD,Com,"1,116","4,137","5,554","7,434","6,963","8,007","10,195","11,156",1116,
16,,Tsingoni,TSI,Com,"3,476","3,007","3,950","5,507","7,779","9,200","10,454","13,934",3476,
17,,Grande-Terre,GT,Isl,"36,329","57,196","80,787","113,488","140,447","162,036","188,442","227,245",36329,
18,,Dzaoudzi,DZA,Com,666,"5,865","8,257","10,792","12,308","15,339","14,311","17,831",666,
19,,Pamandzi,PAM,Com,429,"4,106","5,370","7,040","7,510","9,077","9,892","11,442",429,
20,,Petite-Terre ( Pamanzi ),PT,Isl,"1,095","9,971","13,627","17,832","19,818","24,416","24,203","29,273",1095,
