population_growth,population_growth_Rate,population,Year,City,Country
218595,0.0362708649355587,6245333,2035,Antananarivo,Madagascar
214422,0.036890974269121,6026738,2034,Antananarivo,Madagascar
211345,0.0377336358285018,5812316,2033,Antananarivo,Madagascar
207698,0.0385105667745726,5600971,2032,Antananarivo,Madagascar
203975,0.0393068580759863,5393273,2031,Antananarivo,Madagascar
200031,0.0400922620497159,5189298,2030,Antananarivo,Madagascar
196057,0.0409030691332112,4989267,2029,Antananarivo,Madagascar
191991,0.0417261164921729,4793210,2028,Antananarivo,Madagascar
188072,0.0426163007939686,4601219,2027,Antananarivo,Madagascar
184163,0.0435478119567254,4413147,2026,Antananarivo,Madagascar
180318,0.0445376328894504,4228984,2025,Antananarivo,Madagascar
176402,0.0455552617280226,4048666,2024,Antananarivo,Madagascar
172364,0.0465861239492959,3872264,2023,Antananarivo,Madagascar
168013,0.0475703214740448,3699900,2022,Antananarivo,Madagascar
163302,0.0484779217386528,3531887,2021,Antananarivo,Madagascar
158199,0.0492772520189161,3368585,2020,Antananarivo,Madagascar
151999,0.0496990734004558,3210386,2019,Antananarivo,Madagascar
154435,0.0531809754431202,3058387,2018,Antananarivo,Madagascar
146636,0.0531807018129224,2903952,2017,Antananarivo,Madagascar
139232,0.0531808757854981,2757316,2016,Antananarivo,Madagascar
132024,0.0531057174806721,2618084,2015,Antananarivo,Madagascar
125366,0.0531055698027782,2486060,2014,Antananarivo,Madagascar
118885,0.053030833581273,2360694,2013,Antananarivo,Madagascar
113201,0.0531807641425758,2241809,2012,Antananarivo,Madagascar
107341,0.0531057994812165,2128608,2011,Antananarivo,Madagascar
101928,0.0531057827720897,2021267,2010,Antananarivo,Madagascar
96658,0.0530306729482559,1919339,2009,Antananarivo,Madagascar
92037,0.053180781258306,1822681,2008,Antananarivo,Madagascar
87272,0.0531054441721046,1730644,2007,Antananarivo,Madagascar
82656,0.0529603079612177,1643372,2006,Antananarivo,Madagascar
40841,0.026871288757299,1560716,2005,Antananarivo,Madagascar
39880,0.0269460369798546,1519875,2004,Antananarivo,Madagascar
38781,0.0269085645851345,1479995,2003,Antananarivo,Madagascar
37765,0.0269087084746222,1441214,2002,Antananarivo,Madagascar
41967,0.0308244985978514,1403449,2001,Antananarivo,Madagascar
40822,0.0309103024245454,1361482,2000,Antananarivo,Madagascar
39545,0.0308676426394196,1320660,1999,Antananarivo,Madagascar
38361,0.0308677340809202,1281115,1998,Antananarivo,Madagascar
37161,0.0308238352412464,1242754,1997,Antananarivo,Madagascar
36149,0.0309112706551146,1205593,1996,Antananarivo,Madagascar
35017,0.030867565740237,1169444,1995,Antananarivo,Madagascar
35718,0.0325090629092872,1134427,1994,Antananarivo,Madagascar
52620,0.0503016473741717,1098709,1993,Antananarivo,Madagascar
50233,0.0504420317796949,1046089,1992,Antananarivo,Madagascar
47758,0.0503724298542977,995856,1991,Antananarivo,Madagascar
45467,0.0503716358068802,948098,1990,Antananarivo,Madagascar
43228,0.0503000338607149,902631,1989,Antananarivo,Madagascar
41269,0.0504428369924732,859403,1988,Antananarivo,Madagascar
39235,0.0503723846095578,818134,1987,Antananarivo,Madagascar
37353,0.0503717908261929,778899,1986,Antananarivo,Madagascar
35513,0.0502993486140166,741546,1985,Antananarivo,Madagascar
33905,0.0504442606170252,706033,1984,Antananarivo,Madagascar
32232,0.0503706852363508,672128,1983,Antananarivo,Madagascar
30687,0.0503718756617186,639896,1982,Antananarivo,Madagascar
29176,0.0503005863459493,609209,1981,Antananarivo,Madagascar
27854,0.0504437872501488,580033,1980,Antananarivo,Madagascar
26480,0.0503710298098341,552179,1979,Antananarivo,Madagascar
25210,0.0503707374188044,525699,1978,Antananarivo,Madagascar
23970,0.050302296445682,500489,1977,Antananarivo,Madagascar
22882,0.0504412118059152,476519,1976,Antananarivo,Madagascar
20426,0.0471502339506615,453637,1975,Antananarivo,Madagascar
19392,0.0468610672782061,433211,1974,Antananarivo,Madagascar
18499,0.0467950015177578,413819,1973,Antananarivo,Madagascar
17720,0.0469279661016948,395320,1972,Antananarivo,Madagascar
14981,0.0413133343812652,377600,1971,Antananarivo,Madagascar
14387,0.0413144110822669,362619,1970,Antananarivo,Madagascar
13797,0.0412546533706101,348232,1969,Antananarivo,Madagascar
13286,0.0413702051072866,334435,1968,Antananarivo,Madagascar
12741,0.0413121579206765,321149,1967,Antananarivo,Madagascar
10448,0.0350651094106591,308408,1966,Antananarivo,Madagascar
9785,0.0339550620282813,297960,1965,Antananarivo,Madagascar
9490,0.0340527836087338,288175,1964,Antananarivo,Madagascar
9164,0.0340010611418033,278685,1963,Antananarivo,Madagascar
8865,0.034010343134246,269521,1962,Antananarivo,Madagascar
8559,0.0339512171902085,260656,1961,Antananarivo,Madagascar
12324,0.0513986145229028,252097,1960,Antananarivo,Madagascar
15452,0.068883430441198,239773,1959,Antananarivo,Madagascar
14457,0.0688874699805588,224321,1958,Antananarivo,Madagascar
13507,0.0687879729268627,209864,1957,Antananarivo,Madagascar
7608,0.0403074983178719,196357,1956,Antananarivo,Madagascar
2322,0.0124552774008057,188749,1955,Antananarivo,Madagascar
2294,0.0124583860579037,186427,1954,Antananarivo,Madagascar
2262,0.0124373869390941,184133,1953,Antananarivo,Madagascar
2241,0.0124756443801146,181871,1952,Antananarivo,Madagascar
2210,0.0124563183406605,179630,1951,Antananarivo,Madagascar
